date,T_PCR_p,PCR_p,sibuya_0415,sibuya_0405,sibuya_0401
2020/1/16,1 ,1 ,1.0000 ,1.0000 ,1.0000 
2020/1/17,1 ,0 ,1.0000 ,1.0000 ,1.0000 
2020/1/18,1 ,0 ,1.0000 ,1.0000 ,1.0000 
2020/1/19,1 ,0 ,1.0000 ,1.0000 ,1.0000 
2020/1/20,1 ,0 ,1.0000 ,1.0000 ,1.0000 
2020/1/21,1 ,0 ,1.0000 ,1.0000 ,1.0000 
2020/1/22,1 ,0 ,1.0000 ,1.0000 ,1.0000 
2020/1/23,1 ,0 ,1.0000 ,1.0000 ,1.0000 
2020/1/24,2 ,1 ,1.0000 ,1.0000 ,1.0000 
2020/1/25,3 ,1 ,1.0000 ,1.0000 ,1.0000 
2020/1/26,4 ,1 ,1.0000 ,1.0000 ,1.0000 
2020/1/27,4 ,0 ,0.9971 ,0.9971 ,0.9971 
2020/1/28,7 ,3 ,0.9943 ,0.9943 ,0.9943 
2020/1/29,8 ,1 ,0.9914 ,0.9914 ,0.9914 
2020/1/30,14 ,6 ,0.9885 ,0.9885 ,0.9885 
2020/1/31,17 ,3 ,0.9857 ,0.9857 ,0.9857 
2020/2/1,20 ,3 ,0.9828 ,0.9828 ,0.9828 
2020/2/2,20 ,0 ,0.9771 ,0.9771 ,0.9771 
2020/2/3,20 ,0 ,0.9713 ,0.9713 ,0.9713 
2020/2/4,23 ,3 ,0.9664 ,0.9664 ,0.9664 
2020/2/5,25 ,2 ,0.9623 ,0.9623 ,0.9623 
2020/2/6,25 ,0 ,0.9590 ,0.9590 ,0.9590 
2020/2/7,25 ,0 ,0.9566 ,0.9566 ,0.9566 
2020/2/8,26 ,1 ,0.9549 ,0.9549 ,0.9549 
2020/2/9,26 ,0 ,0.9541 ,0.9541 ,0.9541 
2020/2/10,26 ,0 ,0.9541 ,0.9541 ,0.9541 
2020/2/11,28 ,2 ,0.9535 ,0.9535 ,0.9535 
2020/2/12,29 ,1 ,0.9522 ,0.9522 ,0.9522 
2020/2/13,33 ,4 ,0.9502 ,0.9502 ,0.9502 
2020/2/14,41 ,8 ,0.9476 ,0.9476 ,0.9476 
2020/2/15,53 ,12 ,0.9443 ,0.9443 ,0.9443 
2020/2/16,59 ,6 ,0.9404 ,0.9404 ,0.9404 
2020/2/17,66 ,7 ,0.9356 ,0.9356 ,0.9356 
2020/2/18,74 ,8 ,0.9307 ,0.9307 ,0.9307 
2020/2/19,84 ,10 ,0.9256 ,0.9256 ,0.9256 
2020/2/20,94 ,10 ,0.9204 ,0.9204 ,0.9204 
2020/2/21,109 ,15 ,0.9150 ,0.9150 ,0.9150 
2020/2/22,135 ,26 ,0.9094 ,0.9094 ,0.9094 
2020/2/23,147 ,12 ,0.9037 ,0.9037 ,0.9037 
2020/2/24,160 ,13 ,0.8979 ,0.8979 ,0.8979 
2020/2/25,171 ,11 ,0.8913 ,0.8913 ,0.8913 
2020/2/26,189 ,18 ,0.8837 ,0.8837 ,0.8837 
2020/2/27,214 ,25 ,0.8752 ,0.8752 ,0.8752 
2020/2/28,233 ,19 ,0.8657 ,0.8657 ,0.8657 
2020/2/29,242 ,9 ,0.8553 ,0.8553 ,0.8553 
2020/3/1,256 ,14 ,0.8440 ,0.8440 ,0.8440 
2020/3/2,274 ,18 ,0.8339 ,0.8339 ,0.8339 
2020/3/3,293 ,19 ,0.8259 ,0.8259 ,0.8259 
2020/3/4,329 ,36 ,0.8199 ,0.8199 ,0.8199 
2020/3/5,361 ,32 ,0.8161 ,0.8161 ,0.8161 
2020/3/6,417 ,56 ,0.8145 ,0.8145 ,0.8145 
2020/3/7,461 ,44 ,0.8149 ,0.8149 ,0.8149 
2020/3/8,494 ,33 ,0.8176 ,0.8176 ,0.8176 
2020/3/9,522 ,28 ,0.8198 ,0.8198 ,0.8198 
2020/3/10,581 ,59 ,0.8218 ,0.8218 ,0.8218 
2020/3/11,634 ,53 ,0.8233 ,0.8233 ,0.8233 
2020/3/12,690 ,56 ,0.8245 ,0.8245 ,0.8245 
